STATE,DISTRICT,YEAR,RAPE,CUSTODIAL RAPE,OTHER RAPE,DOWRY DEATHS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,CRUELTY BY HUSBAND OR HIS RELATIVES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,KIDNAPPING & ABDUCTION,ROBBERY,HURT/GREVIOUS HURT,THEFT,BURGLARY,ARSON,DACOITY,TOTAL IPC CRIMES,RISK_SCORE,RISK_LEVEL,MARKER_COLOR
A & N Islands,A And N Islands,2007,3,0,3,1,9,18,21,2,0,15,19,1,12,9,99,112,90,11,5,807,15.02,LOW,green
A & N Islands,Andaman,20059,92,0,92,3,61,97,168,37,0,118,41,18,73,63,910,918,708,80,4,7377,126.10999999999999,LOW,green
A & N Islands,Car,2012,0,0,0,0,1,0,1,0,0,2,0,0,1,0,4,4,0,0,1,24,0.52,LOW,green
A & N Islands,Nicobar,20059,2,0,2,0,0,1,8,0,0,12,2,2,1,0,34,23,23,3,1,235,3.84,LOW,green
A & N Islands,North,2012,4,0,4,0,0,2,2,1,0,5,0,0,0,1,8,13,6,0,0,115,2.2700000000000005,LOW,green
A & N Islands,South,2012,8,0,8,2,6,3,14,3,0,8,3,0,7,1,50,54,65,4,4,544,9.26,LOW,green
Andhra Pradesh,Adilabad,24078,672,0,672,188,570,4126,1785,1242,0,1186,869,151,754,237,16392,3964,2519,395,72,61959,1236.01,HIGH,red
Andhra Pradesh,Anantapur,24078,266,0,266,174,554,1645,2026,622,0,1922,1248,51,839,244,17682,6079,2536,444,137,59927,1097.88,HIGH,red
Andhra Pradesh,Chittoor,24078,368,0,368,262,531,3283,1381,2179,0,1270,739,32,907,207,13543,11077,2777,419,96,75471,1380.86,HIGH,red
Andhra Pradesh,Cuddapah,24078,298,0,298,146,522,1790,1708,538,0,1196,506,38,653,106,14301,4530,1549,337,39,58147,879.21,HIGH,red
Andhra Pradesh,Cyberabad,20075,641,0,641,437,857,8932,1372,3168,4,1810,914,96,1398,765,32697,29665,11946,491,141,141743,3259.88,HIGH,red
Andhra Pradesh,East Godavari,24078,499,0,499,206,378,4927,1920,1584,0,1041,1211,45,780,245,31514,13533,5069,479,30,93193,1876.7400000000002,HIGH,red
Andhra Pradesh,Guntakal Rly.,24078,3,0,3,5,6,11,19,13,0,75,3,0,10,31,75,2091,0,2,15,3232,94.30000000000001,LOW,green
Andhra Pradesh,Guntur,24078,526,0,526,234,705,5792,2881,2252,0,1775,1326,18,969,347,22209,13165,3509,692,91,97091,1963.7599999999998,HIGH,red
Andhra Pradesh,Guntur Urban,6033,69,0,69,28,65,1327,218,248,0,150,109,5,100,62,2398,2497,416,33,6,11828,305.34999999999997,MEDIUM,orange
Andhra Pradesh,Hyderabad City,24078,712,0,712,397,690,14055,2088,1741,2,1455,1563,65,1466,942,47343,56167,13435,433,121,202931,4916.63,HIGH,red
Andhra Pradesh,Karimnagar,24078,853,0,853,594,1201,7304,3833,2324,1,1674,1199,98,1534,344,31334,7588,3258,685,91,96728,2173.5400000000004,HIGH,red
Andhra Pradesh,Khammam,24078,721,0,721,218,717,4090,2247,2525,0,1337,791,47,919,195,18111,6006,2717,439,63,68903,1437.98,HIGH,red
Andhra Pradesh,Krishna,24078,528,0,528,169,466,5016,2865,1698,0,842,802,19,650,126,27498,7002,2392,545,22,67845,1528.14,HIGH,red
Andhra Pradesh,Kurnool,24078,419,0,419,154,599,3002,3504,2172,0,1529,1460,42,785,215,19228,4921,2494,380,101,73883,1310.73,HIGH,red
Andhra Pradesh,Mahaboobnagar,24078,864,0,864,310,737,2751,2061,468,0,2171,953,271,870,347,19861,9043,3014,650,90,71938,1521.0499999999997,HIGH,red
Andhra Pradesh,Medak,24078,538,0,538,383,490,3552,1295,653,0,1460,664,138,639,309,21372,6273,3440,645,117,61927,1313.77,HIGH,red
Andhra Pradesh,Nalgonda,24078,698,0,698,402,689,3675,2738,1542,0,1446,778,59,872,347,19199,5917,2838,845,90,85368,1440.94,HIGH,red
Andhra Pradesh,Nellore,24078,488,0,488,107,774,3352,2413,1621,0,942,1117,49,887,250,24134,8623,2934,647,122,71475,1466.63,HIGH,red
Andhra Pradesh,Nizamabad,24078,412,0,412,225,384,5084,1013,718,3,1339,656,158,630,329,21756,6027,3496,448,123,61912,1351.82,HIGH,red
Andhra Pradesh,Prakasham,24078,318,0,318,110,593,2409,2197,876,0,1089,1023,46,758,208,17332,5132,2248,559,86,60364,1071.51,HIGH,red
Andhra Pradesh,Rajahmundry,6033,38,0,38,10,45,468,140,108,0,65,101,4,75,27,2104,1095,354,12,4,6288,149.07999999999998,LOW,green
Andhra Pradesh,Ranga Reddy,24078,338,0,338,268,316,2001,741,316,7,1091,478,79,450,213,13892,4260,3266,452,66,41037,871.0800000000002,HIGH,red
Andhra Pradesh,Secunderabad Rly.,24078,7,0,7,8,3,5,20,10,0,104,8,1,9,54,138,4819,6,2,8,6163,206.97,LOW,green
Andhra Pradesh,Srikakulam,24078,274,1,273,83,200,2607,893,600,0,405,236,39,217,66,13049,2580,1437,295,24,40293,689.3100000000001,MEDIUM,orange
Andhra Pradesh,Tirupathi Urban,6033,32,0,32,16,30,293,99,43,0,112,94,3,72,40,2077,2105,487,21,4,8164,175.93,LOW,green
Andhra Pradesh,Vijayawada,10015,134,0,134,36,228,3571,569,757,0,213,234,13,374,204,9360,12278,3101,119,18,39350,1115.3199999999997,HIGH,red
Andhra Pradesh,Vijayawada City,14063,200,1,199,94,352,4523,1190,1802,0,254,377,23,485,226,11687,9425,1663,144,10,42500,1167.56,HIGH,red
Andhra Pradesh,Vijayawada Rly.,24078,4,0,4,4,5,10,35,15,0,32,13,0,9,34,146,4227,2,1,7,5216,179.03000000000003,LOW,green
Andhra Pradesh,Visakha Rural,24078,228,0,228,72,140,1739,793,502,0,737,318,21,191,66,14824,2260,1241,270,20,35912,614.63,MEDIUM,orange
Andhra Pradesh,Visakhapatnam,24078,343,0,343,93,274,4281,598,863,0,340,321,22,403,243,8827,11456,3925,129,64,55171,1234.65,HIGH,red
Andhra Pradesh,Vizianagaram,24078,223,0,223,59,135,2829,832,646,0,412,278,23,177,66,7865,2610,1376,114,27,37750,628.75,MEDIUM,orange
Andhra Pradesh,Warangal,24078,621,0,621,438,842,3257,2467,306,0,1287,754,68,1109,217,18544,5847,3247,324,44,75347,1348.24,HIGH,red
Andhra Pradesh,Warangal Urban,6033,82,0,82,47,82,742,199,153,0,108,43,7,124,41,2136,1081,475,55,3,9896,199.95000000000002,LOW,green
Andhra Pradesh,West Godavari,24078,1062,0,1062,238,756,6558,3859,1826,0,887,1234,32,1124,252,23937,13847,4169,462,35,90029,2191.62,HIGH,red
Arunachal Pradesh,Anjaw,8042,1,0,1,0,1,2,0,0,0,3,1,0,1,0,19,12,11,0,0,85,1.7399999999999998,LOW,green
Arunachal Pradesh,Changlang,24078,53,0,53,1,55,23,36,0,0,85,40,7,78,49,398,378,238,20,29,2201,58.86,LOW,green
Arunachal Pradesh,Dibang Valley,24078,30,0,30,0,36,17,36,0,0,36,35,1,48,45,298,273,133,12,23,1444,38.13,LOW,green
Arunachal Pradesh,K/Kumey,20075,17,0,17,0,15,2,3,0,0,41,25,0,17,4,73,58,55,5,6,507,14.629999999999999,LOW,green
Arunachal Pradesh,Kameng East,24078,25,0,25,0,29,3,49,0,0,52,9,1,46,48,419,201,149,1,16,1481,34.28,LOW,green
Arunachal Pradesh,Kameng West,24078,7,0,7,0,15,3,27,0,0,48,21,4,26,31,290,214,105,3,12,1297,24.92,LOW,green
Arunachal Pradesh,Lohit,24078,50,0,50,0,67,5,69,0,0,146,29,1,96,65,349,391,206,21,26,2154,62.629999999999995,LOW,green
